Geneid	SRR21709662
100287102	4
653635	310
102466751	9
100302278	0
645520	0
79501	0
729737	0
102725121	1
102723897	223
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	5
81399	0
100133331	44
100288069	26
400728	26
79854	14
643837	1086
284593	2
100130417	289
148398	636
26155	5029
339451	978
84069	179
84808	76
57801	1514
9636	6528
375790	29018
105369174	22
105378948	11
401934	0
54991	563
254099	0
406984	0
406983	0
554210	0
254173	0
8784	8
7293	0
51150	24283
126792	2916
388581	45
118424	2225
6339	169
116983	3901
102465434	0
126789	873
54973	2697
102465435	0
80772	2268
83756	32
1855	6784
102466740	0
54587	24749
54998	5854
81669	4276
148413	756
55052	3102
441869	0
643965	0
102724312	0
64856	35
219293	7
83858	1816
55210	3463
339453	103
29101	5495
643988	891
142678	3675
8510	0
984	1997
728661	1858
8511	0
728642	991
9906	449
65220	3033
2782	25303
105378949	31
163688	19
339456	4
85452	0
2563	0
5590	157
100506504	28
199990	3108
105378592	31
6497	4936
105378594	4
79906	193
100129534	60
11079	7667
5192	1038
9651	5
55229	12
388585	0
115110	0
8764	57
100996583	0
127281	410
79258	0
100287898	0
140625	0
440556	17
63976	101
100422968	0
27237	8
1953	2422
693135	0
127262	8085
49856	564
7161	0
57212	881
148870	0
388588	7
57470	2604
9731	1983
1677	113
339448	760
100133612	54
728716	0
284661	0
55966	2
100616489	0
100616421	0
261734	482
8514	811
26038	228
6146	9610
102724450	8
388591	305
23463	10113
148645	2
390992	0
387509	255
11332	7351
54626	14
83715	6
100422975	0
8718	463
57449	2931
79707	1169
80835	9
3104	661
9903	12778
148479	1175
90326	427
55735	1704
100505887	0
23261	1335
9341	10368
8863	509
10911	0
3604	0
11315	9245
54206	1316
102724539	0
50651	179
473	4682
102724552	3
2023	140534
102465436	1
100505975	3
765	0
155184	0
6518	4
80045	97
407040	2
9563	2574
80176	1196
100506022	51
84275	601
199953	832
5293	1464
644997	0
101929074	24
22883	15999
56998	804
84328	785
64802	1083
100847055	0
105376719	0
116362	0
10277	2412
23095	2519
100422970	0
5226	16849
100526739	0
378708	55
1325	16
1676	1969
5195	1436
54897	70
148345	4
23435	5239
10747	30
6723	9976
5394	2033
2475	2994
100873935	0
10218	146
29914	907
57540	2
101929181	0
26232	245
93611	1176
26270	530
10459	1001
374946	123
57085	2308
284498	0
102724659	0
4524	1122
1185	818
100379251	2
4878	9
4879	8
26829	0
90231	5995
5351	20253
9927	6209
60672	1156
102466982	0
943	2
102465836	0
7133	0
100616438	0
55187	1341
677885	6
9249	3862
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	2
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	2
10630	632
7799	1059
23254	546
200197	6
55092	668
727684	5
114827	3
101927417	0
79180	2880
11330	0
63036	0
51032	5
842	515
23341	1460
79814	91
84301	95
6248	55
23207	5721
284723	54
388595	0
54751	8759
440567	177
729614	109
23013	1517
7709	1139
101928566	0
149563	0
27129	3910
1187	10
1188	6
348487	75
1969	6002
128272	86
101927546	5
79363	252
54455	972
26099	7312
374955	0
55707	3370
114819	146
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	222
84809	461
11209	55
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	2
100500876	0
100189298	0
7193	0
791226	0
9696	822
26870	0
4237	1035
23400	8324
6390	2630
11240	0
29943	18
51702	2
100616188	0
23569	0
353238	0
55920	2215
55160	2781
81569	0
101927876	0
84966	0
127707	2
5081	0
80834	0
8659	1948
100616120	0
100302276	0
126917	798
23352	6769
23065	6629
51154	1924
246181	12
22977	13
100506730	109
8574	2849
54896	2118
832	18978
100532736	0
440574	3009
644068	8
4681	82
3362	4
255104	366
54546	0
23252	465
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	4
101928017	0
127731	0
339505	0
55450	3560
79594	2631
163933	12
978	10
65018	2221
102464833	0
100861548	298
1650	13852
57576	139
400745	2247
50809	4916
8672	5653
100302155	0
1889	7802
100506801	0
84224	391
249	31
5909	103
84196	2401
401944	70
3339	40016
23436	0
10136	0
101928043	3
29092	180
998	13016
54361	26
100616433	0
9923	1014
2046	0
102466615	0
712	0
714	0
713	0
2048	2180
100616391	0
100422914	0
646262	0
729059	0
23028	2436
100422866	0
100616177	0
7798	2513
3352	46
100996511	14
10236	5363
80818	477
148898	16
6920	128
55616	990
1870	39
101928163	0
3399	14913
259283	0
6135	14798
6924	2744
100506963	23
57095	3601
11313	3694
2582	1095
3155	2265
2517	1319
1269	0
100616492	0
55629	2252
10772	2982
127294	9
58985	0
163702	2
284632	0
57822	2
90529	805
57185	10725
100750325	0
11123	356
100506985	47
400746	0
10250	2544
25932	26329
864	4
102465437	0
100616365	0
25949	2285
57035	1386
6007	14
23585	2810
6006	35
55219	1591
26119	2458
57134	1289
57190	5630
56181	1375
646471	119
79000	60
164091	1729
3925	3750
100500808	0
5051	1226
2134	4644
7780	16
105376910	0
84676	87
149420	134
79927	0
105376887	0
51042	1605
10256	6
378807	0
101928303	0
64793	489
83442	29183
91544	424
1043	0
55057	0
257101	0
79727	0
79947	3672
101928324	5
3151	5040
6195	277
100302190	0
101928728	25
8289	2561
55650	663
84243	2878
2810	8
54707	810
63906	529
10726	10021
8431	0
126695	0
388610	3822
115572	228
6548	4136
23038	3188
84065	2109
644961	20
100887744	0
84958	9
9064	2029
8547	8
388611	0
2827	48
10163	3881
27245	3544
2268	0
2537	19450
199870	392
23673	2856
5511	2075
677774	0
9473	56
6118	2917
27293	30
55113	643
2140	911
5724	8
22826	4767
93974	6820
83667	1173
54797	991
65979	1508
1104	1317
8420	508
6080	14
26768	9
54952	633
85028	256
692212	9
677838	53
677825	13
692073	16
115273	22
6883	934
26824	0
10691	318
105376911	3
51441	3541
4985	0
2035	1029
399474	182
6429	2438
51102	623
10076	762
101928460	0
101929406	0
4146	0
100129196	6
7805	2
100616164	0
400748	0
9672	8269
9698	2911
692234	0
692235	0
692200	2
79570	30
9410	834
51538	2017
2170	2119
347735	4574
149086	0
284551	0
64129	4754
3061	3
553115	2998
1307	660
576	1253
100423028	0
90853	1485
8073	8928
10657	4621
55116	502
100847018	0
23633	4413
200081	6302
79140	262
56063	271
55721	66
149069	7
8668	8509
339483	204
84734	134
3932	4
3065	5818
65108	6112
