Geneid	SRR21709663
100287102	0
653635	281
102466751	14
100302278	0
645520	0
79501	0
729737	36
102725121	0
102723897	192
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	8
81399	1
100133331	17
100288069	12
400728	5
79854	18
643837	912
284593	0
100130417	98
148398	178
26155	3527
339451	542
84069	80
84808	26
57801	2156
9636	4959
375790	25020
105369174	7
105378948	46
401934	0
54991	471
254099	0
406984	0
406983	0
554210	0
254173	0
8784	4
7293	0
51150	21981
126792	2455
388581	27
118424	1786
6339	258
116983	3395
102465434	0
126789	562
54973	2447
102465435	0
80772	2006
83756	18
1855	5674
102466740	0
54587	16726
54998	4729
81669	3079
148413	631
55052	2187
441869	32
643965	0
102724312	0
64856	48
219293	5
83858	1093
55210	1922
339453	84
29101	4442
643988	586
142678	3251
8510	8
984	2048
728661	2450
8511	2
728642	636
9906	449
65220	3044
2782	20204
105378949	42
163688	24
339456	4
85452	0
2563	0
5590	165
100506504	24
199990	2862
105378592	53
6497	3829
105378594	0
79906	213
100129534	72
11079	5326
5192	1292
9651	2
55229	122
388585	0
115110	8
8764	57
100996583	0
127281	15
79258	0
100287898	0
140625	0
440556	26
63976	194
100422968	0
27237	23
1953	5733
693135	0
127262	6720
49856	525
7161	2
57212	1122
148870	3
388588	17
57470	2161
9731	1867
1677	96
339448	608
100133612	46
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	437
8514	979
26038	361
6146	8135
102724450	24
388591	371
23463	8637
148645	10
390992	0
387509	361
11332	4758
54626	12
83715	2
100422975	0
8718	217
57449	1597
79707	995
80835	32
3104	597
9903	13982
148479	1228
90326	419
55735	1426
100505887	0
23261	1176
9341	8609
8863	503
10911	0
3604	2
11315	8063
54206	516
102724539	2
50651	251
473	5510
102724552	3
2023	105535
102465436	0
100505975	6
765	4
155184	0
6518	6
80045	166
407040	5
9563	3627
80176	1904
100506022	56
84275	602
199953	914
5293	1622
644997	0
101929074	79
22883	11959
56998	617
84328	684
64802	976
100847055	0
105376719	0
116362	0
10277	2478
23095	2901
100422970	0
5226	11236
100526739	0
378708	37
1325	8
1676	1745
5195	1153
54897	135
148345	2
23435	5004
10747	44
6723	6408
5394	1692
2475	3245
100873935	0
10218	146
29914	715
57540	4
101929181	0
26232	312
93611	1538
26270	642
10459	948
374946	36
57085	1742
284498	0
102724659	0
4524	1271
1185	1152
100379251	17
4878	16
4879	44
26829	0
90231	4748
5351	15645
9927	7314
60672	804
102466982	0
943	2
102465836	0
7133	0
100616438	0
55187	1936
677885	4
9249	4255
102466722	2
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	957
7799	1269
23254	992
200197	0
55092	744
727684	0
114827	8
101927417	3
79180	2586
11330	0
63036	0
51032	8
842	493
23341	1103
79814	178
84301	125
6248	77
23207	7547
284723	72
388595	0
54751	5044
440567	116
729614	99
23013	1394
7709	854
101928566	0
149563	0
27129	4421
1187	10
1188	2
348487	18
1969	4954
128272	39
101927546	2
79363	388
54455	1124
26099	6718
374955	2
55707	2664
114819	131
26871	0
100126512	2
100126517	1
102724970	0
100133301	0
7195	0
55672	520
84809	260
11209	108
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	42
100500876	0
100189298	0
7193	0
791226	0
9696	1216
26870	0
4237	295
23400	4994
6390	2213
11240	10
29943	114
51702	0
100616188	0
23569	0
353238	2
55920	1344
55160	4556
81569	0
101927876	0
84966	4
127707	0
5081	0
80834	0
8659	3672
100616120	0
100302276	0
126917	537
23352	9685
23065	4610
51154	1539
246181	10
22977	24
100506730	124
8574	2842
54896	2058
832	13607
100532736	0
440574	3067
644068	30
4681	125
3362	6
255104	649
54546	0
23252	447
30814	0
5320	2
5322	26
26279	0
64600	0
391013	0
127733	14
101928017	0
127731	0
339505	9
55450	3671
79594	2465
163933	18
978	6
65018	2949
102464833	0
100861548	130
1650	10131
57576	263
400745	2679
50809	4817
8672	6860
100302155	0
1889	6089
100506801	1
84224	299
249	404
5909	190
84196	2218
401944	21
3339	45765
23436	0
10136	0
101928043	3
29092	243
998	9862
54361	15
100616433	0
9923	852
2046	2
102466615	0
712	0
714	0
713	0
2048	279
100616391	0
100422914	0
646262	0
729059	0
23028	1904
100422866	0
100616177	0
7798	1906
3352	2
100996511	22
10236	4300
80818	389
148898	41
6920	456
55616	1539
1870	57
101928163	0
3399	8318
259283	3
6135	12603
6924	2141
100506963	22
57095	2788
11313	2349
2582	734
3155	2699
2517	1912
1269	0
100616492	0
55629	2384
10772	3138
127294	2
58985	10
163702	41
284632	0
57822	0
90529	983
57185	11341
100750325	4
11123	485
100506985	91
400746	0
10250	2744
25932	26754
864	29
102465437	0
100616365	0
25949	1958
57035	1226
6007	5
23585	2435
6006	28
55219	948
26119	4098
57134	2594
57190	5717
56181	1471
646471	137
79000	72
164091	1984
3925	3424
100500808	0
5051	1294
2134	4210
7780	14
105376910	0
84676	948
149420	172
79927	4
105376887	0
51042	884
10256	4
378807	0
101928303	12
64793	561
83442	12551
91544	521
1043	0
55057	18
257101	0
79727	0
79947	3344
101928324	2
3151	3832
6195	714
100302190	0
101928728	40
8289	3183
55650	625
84243	1801
2810	11
54707	769
63906	471
10726	5781
8431	0
126695	0
388610	2165
115572	638
6548	2617
23038	4370
84065	1727
644961	8
100887744	0
84958	10
9064	2179
8547	0
388611	0
2827	28
10163	4046
27245	3956
2268	0
2537	30110
199870	418
23673	3000
5511	1507
677774	0
9473	101
6118	1573
27293	22
55113	627
2140	829
5724	3
22826	4522
93974	5753
83667	1508
54797	655
65979	1209
1104	722
8420	485
6080	31
26768	15
54952	493
85028	151
692212	9
677838	31
677825	5
692073	2
115273	24
6883	629
26824	0
10691	285
105376911	0
51441	3309
4985	0
2035	1529
399474	514
6429	2208
51102	1157
10076	1994
101928460	0
101929406	0
4146	0
100129196	5
7805	2
100616164	0
400748	0
9672	6738
9698	3086
692234	0
692235	5
692200	0
79570	4
9410	598
51538	1609
2170	1449
347735	2881
149086	0
284551	0
64129	10459
3061	1
553115	2915
1307	980
576	1293
100423028	2
90853	1363
8073	6437
10657	4169
55116	365
100847018	0
23633	4746
200081	6513
79140	181
56063	303
55721	87
149069	17
8668	6668
339483	125
84734	100
3932	4
3065	4234
65108	1905
100128071	60
81629	29
55108	3775
728116	2
653121	312
339487	767
5928	2364
81493	3289
57648	4317
8565	4640
64766	746
252995	31
3208	4
113452	2326
127544	797
204	3531
113451	230
55223	364
149076	560
127550	0
1912	3862
100500853	0
101929464	10
7579	306
114784	369
127540	0
402779	0
84970	1
693137	0
2709	1
127534	1
2707	2
2701	0
113444	1945
58512	9
653160	40
100506144	683
9204	681
79830	310
6421	4440
9202	1797
79932	5131
23154	6201
339488	25
5690	3591
127703	2237
63967	474
192670	538
26523	1082
192669	660
27285	16
54936	1946
1296	15784
27095	3409
55700	17753
9967	4912
79729	165
55194	2154
