Geneid	SRR21709659
100287102	4
653635	292
102466751	17
100302278	0
645520	0
79501	0
729737	40
102725121	2
102723897	307
102465909	0
729759	0
100132287	5
105378947	1
101928626	0
102465432	15
81399	0
100133331	53
100288069	27
400728	2
79854	19
643837	970
284593	6
100130417	544
148398	1546
26155	3931
339451	931
84069	218
84808	85
57801	1847
9636	1378
375790	19770
105369174	22
105378948	56
401934	0
54991	467
254099	0
406984	0
406983	0
554210	0
254173	0
8784	2
7293	4
51150	22253
126792	2924
388581	30
118424	2272
6339	321
116983	3223
102465434	0
126789	594
54973	2310
102465435	0
80772	1912
83756	38
1855	6197
102466740	0
54587	16451
54998	5032
81669	4741
148413	726
55052	2496
441869	30
643965	0
102724312	0
64856	127
219293	7
83858	1209
55210	2337
339453	97
29101	5102
643988	634
142678	4670
8510	0
984	1919
728661	2265
8511	7
728642	558
9906	382
65220	3044
2782	24118
105378949	50
163688	57
339456	8
85452	0
2563	0
5590	324
100506504	33
199990	3192
105378592	42
6497	7549
105378594	2
79906	207
100129534	69
11079	6324
5192	1068
9651	1
55229	6
388585	0
115110	0
8764	10
100996583	0
127281	207
79258	0
100287898	0
140625	0
440556	16
63976	114
100422968	0
27237	30
1953	7523
693135	0
127262	7379
49856	510
7161	13
57212	1142
148870	0
388588	4
57470	2320
9731	1926
1677	115
339448	647
100133612	71
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	480
8514	925
26038	371
6146	9368
102724450	20
388591	465
23463	9259
148645	4
390992	0
387509	141
11332	5563
54626	22
83715	8
100422975	0
8718	446
57449	2732
79707	1051
80835	35
3104	713
9903	11580
148479	817
90326	352
55735	1600
100505887	0
23261	1328
9341	7852
8863	286
10911	0
3604	0
11315	8607
54206	311
102724539	0
50651	137
473	8132
102724552	0
2023	120822
102465436	1
100505975	1
765	0
155184	0
6518	12
80045	221
407040	4
9563	2818
80176	2072
100506022	56
84275	592
199953	962
5293	1655
644997	0
101929074	76
22883	14943
56998	586
84328	557
64802	1007
100847055	0
105376719	0
116362	0
10277	2489
23095	2785
100422970	0
5226	8523
100526739	0
378708	23
1325	6
1676	1776
5195	1165
54897	92
148345	12
23435	4886
10747	51
6723	8459
5394	1692
2475	3142
100873935	0
10218	672
29914	854
57540	2
101929181	0
26232	746
93611	1560
26270	764
10459	853
374946	164
57085	1919
284498	0
102724659	0
4524	1261
1185	736
100379251	19
4878	21
4879	241
26829	2
90231	6317
5351	18726
9927	6760
60672	857
102466982	0
943	4
102465836	0
7133	0
100616438	0
55187	1823
677885	4
9249	2325
102466722	3
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	1129
7799	1196
23254	1029
200197	5
55092	694
727684	0
114827	22
101927417	2
79180	2094
11330	3
63036	0
51032	5
842	500
23341	1354
79814	175
84301	102
6248	45
23207	5989
284723	57
388595	2
54751	7795
440567	101
729614	146
23013	2000
7709	1019
101928566	0
149563	0
27129	5630
1187	10
1188	2
348487	12
1969	6068
128272	56
101927546	3
79363	356
54455	1061
26099	6851
374955	0
55707	2989
114819	160
26871	0
100126512	2
100126517	0
102724970	0
100133301	0
7195	0
55672	397
84809	424
11209	133
26869	0
729574	0
100126533	4
284729	0
100189045	0
102723383	0
6060	0
11223	26
100500876	0
100189298	0
7193	0
791226	0
9696	1345
26870	0
4237	553
23400	7679
6390	2251
11240	24
29943	207
51702	0
100616188	0
23569	0
353238	0
55920	2330
55160	3024
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	2414
100616120	0
100302276	0
126917	1363
23352	7444
23065	5479
51154	1511
246181	5
22977	23
100506730	131
8574	2940
54896	1855
832	16093
100532736	0
440574	2852
644068	24
4681	160
3362	8
255104	452
54546	0
23252	637
30814	0
5320	4
5322	10
26279	0
64600	0
391013	0
127733	22
101928017	0
127731	0
339505	0
55450	1340
79594	2160
163933	30
978	24
65018	3670
102464833	0
100861548	202
1650	10492
57576	109
400745	1306
50809	4920
8672	5630
100302155	0
1889	8236
100506801	0
84224	321
249	184
5909	74
84196	1944
401944	54
3339	47792
23436	0
10136	0
101928043	10
29092	292
998	10105
54361	12
100616433	0
9923	1153
2046	0
102466615	0
712	0
714	0
713	0
2048	1327
100616391	0
100422914	0
646262	0
729059	1
23028	1977
100422866	0
100616177	0
7798	2299
3352	16
100996511	68
10236	4495
80818	436
148898	50
6920	210
55616	972
1870	12
101928163	0
3399	24330
259283	2
6135	13847
6924	2167
100506963	12
57095	1938
11313	2640
2582	664
3155	1959
2517	1837
1269	0
100616492	0
55629	1814
10772	2417
127294	12
58985	0
163702	28
284632	0
57822	0
90529	623
57185	10264
100750325	1
11123	426
100506985	75
400746	0
10250	2148
25932	24564
864	16
102465437	0
100616365	0
25949	2019
57035	1865
6007	2
23585	3078
6006	30
55219	1204
26119	3966
57134	1064
57190	5942
56181	1500
646471	130
79000	40
164091	2179
3925	2245
100500808	0
5051	1414
2134	11971
7780	46
105376910	0
84676	82
149420	124
79927	0
105376887	0
51042	1106
10256	6
378807	0
101928303	8
64793	316
83442	17407
91544	500
1043	0
55057	0
257101	0
79727	0
79947	3036
101928324	0
3151	3107
6195	470
100302190	0
101928728	47
8289	2894
55650	604
84243	2106
2810	8
54707	875
63906	624
10726	6990
8431	0
126695	0
388610	2490
115572	384
6548	3970
23038	3727
84065	2040
644961	18
100887744	0
84958	8
9064	1839
8547	0
388611	0
2827	60
10163	3373
27245	3478
2268	0
2537	12375
199870	426
23673	2860
5511	1542
677774	2
9473	40
6118	1561
27293	38
55113	662
2140	828
5724	4
22826	3737
93974	6013
83667	1526
54797	970
65979	1762
1104	709
8420	662
6080	59
26768	37
54952	549
85028	196
692212	5
677838	59
677825	6
692073	8
115273	18
6883	777
26824	0
10691	294
105376911	9
51441	3256
4985	0
2035	1196
399474	285
6429	2157
51102	889
10076	1601
101928460	1
101929406	0
4146	0
100129196	9
7805	0
100616164	0
400748	0
9672	10114
9698	3140
692234	0
692235	4
692200	0
79570	18
9410	655
51538	1926
2170	852
347735	5670
149086	0
284551	0
64129	9080
3061	0
553115	3291
1307	4751
576	903
100423028	0
90853	1057
8073	6417
10657	3587
55116	459
100847018	0
23633	4040
200081	6249
79140	155
56063	316
55721	59
149069	17
8668	7183
339483	102
84734	83
3932	0
3065	4609
65108	3342
100128071	124
81629	35
55108	4223
728116	0
653121	409
339487	940
5928	2294
81493	1968
57648	2833
8565	4766
64766	795
252995	48
3208	8
113452	2265
127544	884
204	3338
113451	330
55223	439
149076	1244
127550	0
1912	3399
100500853	0
101929464	5
7579	322
114784	371
127540	0
402779	0
84970	2
693137	0
2709	2
127534	0
2707	0
2701	0
113444	2181
58512	12
653160	53
100506144	702
9204	699
79830	271
6421	4864
9202	1631
79932	4153
23154	4013
339488	26
5690	3775
127703	2105
63967	65
192670	710
26523	934
192669	773
27285	10
54936	1784
1296	14124
27095	3303
55700	18805
9967	4289
79729	266
55194	2149
83931	1566
84967	1617
127700	357
64960	1481
1441	0
2899	0
100422898	0
728431	115
80149	441
102465438	0
64769	1253
100847010	2
79753	582
7802	54
29889	1818
284654	0
54955	921
55143	108
284656	4
149175	397
79693	575
127687	5130
4520	766
3633	746
10946	1866
2275	1470
51118	1061
5453	17
100500801	0
339442	2
64121	4022
100527950	9
26292	1
81025	0
54933	46
79647	4742
4725	7462
23499	19035
643314	832
105378950	0
353500	45
728448	75
8761	8761
101929516	7
677834	4
26508	2
84618	0
51440	0
10450	1301
656	14
64064	18
105378951	7
101929536	0
54802	519
4610	49
84879	273
10487	25726
5538	1796
6018	412
127391	0
10269	4500
1298	93
64744	1023
65243	121
339559	177
64789	420
127396	92
9783	101
100130557	26
4802	751
407034	0
407031	0
9132	47
163732	1294
1503	13182
100507178	218
200172	326
22955	671
100132074	13
1907	2
59269	217
2981	0
2980	0
22887	1360
284716	18
84217	62
79717	1597
728621	96
10465	499
4904	36901
149461	0
64175	4731
79078	424
100129924	1
374969	165
114625	663
51058	250
339539	0
6513	8733
440584	39
105378684	2
440585	12
10969	3690
102465439	1
149465	20
128218	0
149466	0
7075	0
4352	6
991	148
64834	6509
102466723	0
112950	766
23334	1403
102465440	0
81888	10
5792	10752
9682	1681
100132774	15
6487	958
101929592	0
102464830	0
9048	2
9670	3767
1802	899
533	7945
8704	6363
149473	226
6536	616
128209	6
105378952	0
55929	927
79033	2170
100874278	11
55182	1578
100847089	0
79639	310
339541	53
26828	2
26830	0
11004	59
6202	19055
26811	70
94161	5
94162	6
94163	4
266675	28
1263	2394
343521	88
149478	1055
8643	72
8891	854
79654	3254
7389	5954
57643	65
400752	20
84842	11
4595	137
114034	160
10420	90
126661	62
25974	251
5052	22619
10327	3804
4678	745
149483	16
60313	2053
728963	5
51249	666
3652	686
23139	4446
8503	860
101929626	3
10103	31
55624	6486
541468	43
8438	37
10489	4501
7388	4799
387338	791
2166	206
729041	37
101929651	0
127343	2
100507423	5
148930	0
8569	799
148932	341
64756	2267
374973	0
100130197	2
9813	3655
1580	0
163720	0
1579	0
260293	0
199974	0
284541	0
100874253	14
10158	20
6886	2
6491	244
51727	10575
102724077	4
2301	0
84793	164
2306	321
388630	98
391037	2
200010	5
54558	120
84871	0
79656	10
101929721	0
100874313	0
1996	0
63950	0
11124	1322
1031	397
100616189	0
102466656	0
284546	2
26994	8437
22996	143
102724097	0
2060	2069
114883	5131
4898	5705
100313892	0
5865	8180
51060	2808
112970	0
104355143	0
91408	1209
9372	1149
200014	2988
4998	11
84950	430
23318	811
105378722	3
2882	572
348378	0
65260	474
79699	1436
440590	4
55268	1369
6342	4900
100616156	0
100616458	0
100616145	0
127435	1321
6512	1
1376	726
54987	1143
4116	757
100507564	14
7804	1622
163742	0
63948	0
148979	1968
105369175	110
55706	402
54432	1077
1733	0
51668	638
115353	1452
388633	1
9528	16263
127428	391
100616315	0
200008	0
606495	246
51253	6789
23648	3844
619518	25
26027	358
338094	13
374977	2
100527960	0
7268	26
25973	289
55001	0
163747	0
1718	28947
100126514	0
199964	12
7809	0
255738	789
23358	1483
100507634	39
100616272	0
8613	2912
5563	446
199920	0
731	0
732	0
1600	302
101926890	0
115209	423
4070	0
114803	795
3725	9509
100131060	8
101926925	2
729467	0
55277	323
100616409	0
101926944	0
51361	46
1573	98
127795	0
101926964	0
100996570	11
4774	256
645030	0
414927	0
83941	1817
10207	608
100422902	0
100422946	0
54596	0
163782	51
7398	509
85440	1993
27329	2
84938	387
199899	0
100996301	0
27022	0
102464823	0
29929	312
23421	207
84455	241
79469	17
5236	4476
4919	382
101927034	2
148581	4
57685	694
100616338	0
55225	412
3716	6167
101927084	2
105378775	14
100500854	2
406893	0
205	3625
9829	794
54741	5326
3953	450
5142	211
101927139	4
84251	507
100422871	0
200132	6
10022	2
79819	174
57708	1247
23169	960
400757	0
149233	0
3595	12
26135	7452
1647	31132
55970	19982
100289178	30
9077	6556
79971	4686
100302279	0
6121	0
55635	31
101927220	2
57554	4
5301	0
55631	316
9295	4131
81573	1320
11147	486
1491	253
101927244	12
5733	247
100132618	18
9406	2082
